instruction,text,name,definition
1.1.1,Output,,"Information a program gives to the user, such as text"
1.1.1,Statement,,A single line of code that performs an action
1.1.1,String,,"A group of letters, symbols and/or numbers inside double quotation marks"
1.1.1,Syntax,,"The exact spelling, symbols, and order of code"
1.1.2,Comment,,A note that the computer ignores
1.1.2,Error,,When the computer encounters something unexpected in your code
1.1.2,Header comment,,A multi-line comment at the top of a program surrounded by `"""` marks
1.1.3,Assignment,,Storing information in a variable
1.1.3,User input,,Information the program receives from the user
1.1.3,Variable,,A storage container for information
1.2.1,Argument,,Information that a function needs to know in order to run
1.2.1,Function,,A named code action that can be used in a program
1.2.1,Library,,A collection of code from outside the program
1.2.2,Documentation,,A written explanation of how to use code
1.3.1,Data type,,The category a piece of information belongs to
1.3.1,Float,,A number with a decimal point
1.3.1,Integer,,A number written without a decimal point
1.3.1,Literal,,A value you can literally see
1.3.2,String concatenation,,Join two strings together with the + operator
1.3.2,String multiplication,,Repeat a string a certain number of times with the * operator
1.3.2,Typecast,,Treat one data type like another
1.4.1,Compound assignment operator,,Changes a variable based on the current value
1.4.1,Decrement,,Decrease a variable by an amount
1.4.1,Expression,,A piece of code that produces a value
1.4.1,Increment,,Increase a variable by an amount
1.4.2,None,,A special literal that means "no value"
1.4.2,Return value,,Information given back by a function
2.1.1,Condition,,Asks a yes or no question
2.1.1,Equal to,Equal to (==),Are the two values the same?
2.1.1,if statement,,Runs a section of code when the condition is true
2.1.1,Not equal to,Not equal to (!=),Are the two values different?
2.1.2,Comparison operator,,Compares two values and gives a yes or no answer
2.1.2,Greater than,Greater than (>),Is the left value bigger than the right value?
2.1.2,Less than,Less than (<),Is the left value smaller than the right value?
2.2.1,Conditional,,Runs the first section of code where the condition is true
2.2.1,elif clause,,"When all prior conditions are false, runs a section of code when the condition is true"
2.2.1,else clause,,"When all prior conditions are false, runs a section of code as a last alternative"
2.2.1,Then block,,A section of code that might get run
2.2.2,Chained comparison,,An expression with more than one comparison operator
2.2.2,Nested conditional,,A conditional inside another conditional
2.3.1,random library,,A library with code to create unpredictable values
2.3.2,Exponentiation operator,,Multiplies a number by itself some number of times
2.3.2,Floor division operator,,Rounds the quotient down to a whole number after division
2.3.2,Modulo operator,,Calculates the remainder after division
2.4.1,and operator,,True if all parts are True
2.4.1,Boolean,,A True or False value
2.4.1,Logical operator,,Combines or modifies a boolean
2.4.1,not operator,,Gives the opposite boolean value
2.4.1,or operator,,True if one or more parts are True
2.4.2,Boolean zen,,Using a boolean as a complete condition
2.4.2,Compound boolean expression,,A boolean expression made of up of other boolean expressions
2.pl3.1,Feature,,Something a program can do
2.pl3.1,Modular design,,Composing a system with independent parts
2.pl3.1,Retrospective,,A formal review of the successes and failures of recent work
2.pl3.1,Scope,,The set of work planned for a specific time period
2.pl3.1,Stretch goal,,An optional goal which won't cause the product to fail if it's not reached
2.pl3.1,Version,,A unique name or number for the state of a product at a particular time
3.1.1,Infinite loop,,A loop with a condition that will always be True
3.1.1,Iteration,,One repetition of a loop
3.1.1,while loop,,Repeats a section of code until a condition is no longer True
3.2.1,break statement,,Immediately end a loop
3.2.1,continue statement,,Immediately end an iteration
3.2.1,Loop else clause,,A clause following a loop that runs unless the loop ends with break
3.3.1,Attribute,,A piece of information an object knows about itself
3.3.1,Class,,A blueprint for creating something specific
3.3.1,Instance,,A specific copy created from a class
3.3.1,Method,,A function that belongs to an instance
3.4.1,Coordinates,,Horizontal (x) and vertical (y) position
3.4.1,Main loop,,Keeps a window open and updated
3.4.1,Sprite,,An on-screen graphic based on an image
3.4.1,tsapp library,,A library used to create programs with graphics
3.4.1,Window,,A container for displaying graphics
3.4.2,Constant,,A variable that stores a value that does not change
3.4.2,Text,,An on-screen graphic based on a string
3.5.1,Animation,,Rapid changes that the human eye perceives as motion
3.5.1,Animation rate,,Attribute that controls how fast the images from a spritesheet change
3.5.1,Frame,,"One still image within an animation, usually one iteration of a loop"
3.5.1,Speed,,Attributes that control how fast and what direction an instance moves on screen
3.5.1,Spritesheet,,An image designed to be broken apart and used as an animation
3.6.1,Duration,,The amount of time between two moments
3.6.1,Event,,A single action that occurs as a result of the user
3.6.1,Interaction,,A cycle of user input and program output that influence each other
