ID	Category	Variables
1	age, sex, brain MRI protocol, Phase	31,34,21022,22200,25780
2	genetics	21000,22000:22125,22201:22325,22182,22800:22823
3	early life factors	52,129,130,1677,1687,1697,1737,1767,1777,1787,21066,20022
10	lifestyle and environment - general	3:6,132,189,670,680,699,709,728,738,767,777,1031,1797,1807,1835,1845,1873,1883,2139,2149,2159,2237,2375,2385,2395,2405,2267,2277,2714:10:2834,2946,3526,3536,3546,3581,3591,3659,3669,3700,3710,3720,3829,3839,3849,3872,3882,3912,3942,3972,3982,4501,4674,4825,4836,5057,6138,6142,6139:6141,6145:6146,6160,10016,10105,10114,10721,10722,10740,10749,10860,10877,10886,20074:20075,20110:20113,20118:20119,20121,22501,22599,22606,22700,22702,22704,24003:24020,24024,24500:24508,26410:26434
11	lifestyle and environment - exercise and work	1001,1011,796,806,816,826,845,864,874,884,894,904,914,924,943,971,981,991,1021,1050:10:1220,2624,2634,3426,3637,3647,6143,6162,6164,10953,10962,10971,22604,22605,22607:22615,22620,22630,22631,22640:22655,104900,104910,104920
12	lifestyle and environment - food and drink	1289:10:1389,1408:10:1548,2654,3089,3680,6144,10007,10723,10767,10776,10855,10912,20084:20094,20098:20109,100001:100009,100011:100019,100021:100025,100010:10:100560,100760:10:104670
13	lifestyle and environment - alcohol	1558:10:1628,2664,3731,3859,4407,4418,4429,4440,4451,4462,5364,10818,20095:20097,20117,20403:20410,20414:20416,100580:10:100740
14	lifestyle and environment - tobacco	1239:10:1279,2644,2867:10:2907,2926,2936,3159,3436:10:3506,5959,6157,6158,6183,6194,10115,10827,10895,20116,20160:20162,22506:22508
20	physical measures - general	46:51,1707,1717,1727,1747,1757,2306,3059,3062:3065,3088,3160,10691,10693:10696,10714,10717,12143:12144,20015,20255:20258,21001,21002,22400:22414,22427,23098:23130,23244:23289
21	physical measures - bone density and sizes	77,78,3083:3086,3143:3144,3146:3148,4092,4095,4100:4101,4103:4106,4119:4120,4122:4125,4138:4147,23200:23243,23290:23320
22	physical measures - cardiac & blood vessels	93:95,102,4079,4080,4136,4194:4196,4198:4200,4204:4205,4207,5983,5984,5986,5992,5993,6014:6017,6019,6020,6022,6024,6032:6034,6038,6039,12673:12687,12336,12338,12340,12697,12698,12702,21021,22330:22338,22420:22426,22670:22685
23	hearing test	4229:4230,4232:4237,4239:4247,4249,4268:4270,4272,4275:4277,4279,4849,10793,20019,20021,20060
24	eye test	5076:5079,5082:5091,5096:5119,5132:5136,5138:5149,5152,5155:5164,5181:5183,5186,5188,5190,5193,5198:5199,5201,5202,5204,5206,5208,5209,5211,5215,5221,5237,5251,5254:5259,5261:5267,5273,5274,5276,5292,5306,5324:5328,6070:6075,20052,20055,20261:20262
25	physical activity measures	5985,90002:90003,90010:90013,90015:90177,90179:90195
26	abdominal measures	22415:22416
30	blood assays	74,23000:23044,23049:23060,23062,23063,23065:23071,23073:23075,30000:10:30300,30104,30112,30114,30172,30174,30242,30252,30254,30314:10:30344,30364:10:30424,30500:10:30530,30600:10:30890
31	brain IDPs	25000:25746,25754:25759,25761:25768,25781:25920,26500:26514,26517:26518,26520:27772
32	cognitive phenotypes	62,111,396:404,630,4250:4256,4258:4260,4281:4283,4285,4287,4290:4292,4294,4924,4935,4957,4968,4979,4990,5001,5012,5556,5699,5779,5790,5866,6312,6332,6333,6348:6351,6362,6373,6374,6382,6383,6671,6770:6773,10133:10134,10136:10144,10146:10147,10241,10609:10610,10612,20016,20018,20023,20082,20128:20157,20159,20165,20167,20169:2:20195,20196:2:20200,20229,20230,20240,20242,20244:20248,21004,23321:23324
50	health and medical history, health outcomes	84,87,92,134:137,2178,2188,2207,2217,2227,2247,2257,2296,2316,2335:10:2365,2415,2443:10:2473,2492,2674,2684,2694,2704,2844,2956:10:2986,3005,3079,3140,3393,3404,3414,3571,3606,3616,3627,3741,3751,3761,3773,3786,3799,3809,3894,3992,4012,4022,4041,4056,4067,4689,4700,4717,4728,4792,4803,4814,5408,5419,5430,5441,5452,5463,5474,5485,5496,5507,5518,5529,5540,5610,5832,5843,5855,5877,5890,5901,5912,5923,5934,5945,6119,6147,6148,6149,6150,6151,6152,6153,6154,6155,6159,6177,6179,6205,10004:10006,10854,20001:20011,20199,21024:21045,21047:21061,21064:21065,21067,21068,21070:21076,22126:22181,22502:22505,22616,22618,22619,40001:41253,41256,41258,41266,41267,41269:41273,41275:41278,41284:41286,42000:42013
51	mental health self-report	1920:10:2110,4526,4537,4548,4559,4570,4581,4598,4609,4620,4631,4642,4653,5375,5386,5663,5674,6156,20122,20126:20127,20401,20411,20417:20423,20425:20429,20431:20442,20445:20450,20453:20460,20463,20465:20467,20470:20471,20473,20476,20477,20479:20484,20485:20502,20505:20544,20546:20551,20553:20554,21062:21063
