
# PINGSoft - r filter:  SDSS-III (2001 version)
# -----------------------------------------------

# CWL: 6166

#  Wavelength  Transmission
      5380.00      0.00000
      5405.00   0.00140000
      5430.00   0.00990000
      5455.00    0.0259000
      5480.00    0.0497000
      5505.00    0.0807000
      5530.00     0.118600
      5555.00     0.162500
      5580.00     0.209300
      5605.00     0.255500
      5630.00     0.297500
      5655.00     0.332600
      5680.00     0.360900
      5705.00     0.383400
      5730.00     0.401000
      5755.00     0.414700
      5780.00     0.425300
      5805.00     0.433300
      5830.00     0.439500
      5855.00     0.444600
      5880.00     0.448900
      5905.00     0.452700
      5930.00     0.456300
      5955.00     0.459900
      5980.00     0.463400
      6005.00     0.466500
      6030.00     0.468900
      6055.00     0.470300
      6080.00     0.471100
      6105.00     0.471700
      6130.00     0.472700
      6155.00     0.474400
      6180.00     0.476700
      6205.00     0.479200
      6230.00     0.481900
      6255.00     0.484400
      6280.00     0.486700
      6305.00     0.488700
      6330.00     0.490200
      6355.00     0.490900
      6380.00     0.491200
      6405.00     0.491200
      6430.00     0.491200
      6455.00     0.491400
      6480.00     0.491500
      6505.00     0.491200
      6530.00     0.490100
      6555.00     0.487800
      6580.00     0.485200
      6605.00     0.481800
      6630.00     0.469700
      6655.00     0.442100
      6680.00     0.400900
      6705.00     0.349900
      6730.00     0.292400
      6755.00     0.231800
      6780.00     0.171500
      6805.00     0.115200
      6830.00    0.0687000
      6855.00    0.0380000
      6880.00    0.0212000
      6905.00    0.0134000
      6930.00   0.00990000
      6955.00   0.00760000
      6980.00   0.00550000
      7005.00   0.00390000
      7030.00   0.00270000
      7055.00   0.00200000
      7080.00   0.00150000
      7105.00   0.00120000
      7130.00   0.00100000
      7155.00  0.000700000
      7180.00  0.000400000
      7205.00  0.000200000
      7230.00      0.00000
