
# PINGSoft - B filter: Johnson (1965)  CWL: 4400A
# ------------------------------------------------
# Original information:
# 
# Adapted from ApJ 141, 923 (1965)

# CWL: 4400

#  Wavelength  Transmission
     3600.00      0.00000
     3650.00      0.00000
     3700.00      0.02000
     3750.00      0.05000
     3800.00      0.11000
     3850.00      0.18000
     3900.00      0.35000
     3950.00      0.55000
     4000.00      0.92000
     4050.00      0.95000
     4100.00      0.98000
     4150.00      0.99000
     4200.00      1.00000
     4250.00      0.99000
     4300.00      0.98000
     4350.00      0.96000
     4400.00      0.94000
     4450.00      0.91000
     4500.00      0.87000
     4550.00      0.83000
     4600.00      0.79000
     4650.00      0.74000
     4700.00      0.69000
     4750.00      0.63000
     4800.00      0.58000
     4850.00      0.52000
     4900.00      0.46000
     4950.00      0.41000
     5000.00      0.36000
     5050.00      0.30000
     5100.00      0.25000
     5150.00      0.20000
     5200.00      0.15000
     5250.00      0.12000
     5300.00      0.09000
     5350.00      0.06000
     5400.00      0.04000
     5450.00      0.02000
     5500.00      0.01000
     5550.00      0.00000

